"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.08022051493545,0.586,0.067,0,"0","CYP24A1"
0,2.03094309174385,0.765,0.111,0,"0","PSCA"
0,2.02348117512723,0.995,0.3,0,"0","CDH2"
0,2.02166610521388,0.953,0.185,0,"0","PVALB"
0,2.01150397609081,0.992,0.3,0,"0","HMGCS2"
0,1.90847205211909,0.981,0.269,0,"0","PIP"
0,1.83951344459444,0.995,0.324,0,"0","NRAS"
0,1.83502856175404,0.999,0.379,0,"0","ECM1"
0,1.8146643359855,1,0.557,0,"0","DCAF7"
0,1.78382959425953,0.999,0.372,0,"0","TACO1"
0,1.76353144568111,0.783,0.134,0,"0","FIBCD1"
0,1.74993900744389,0.601,0.084,0,"0","FNDC11"
0,1.73583793436749,0.518,0.075,0,"0","CNIH2"
0,1.70357944670715,0.506,0.071,0,"0","TMEM97"
0,1.69834657051926,0.926,0.228,0,"0","CSTA"
0,1.67701234491181,0.717,0.135,0,"0","MIPEP"
0,1.6769140664412,0.773,0.148,0,"0","ABCA12"
0,1.66533507947624,0.83,0.177,0,"0","IKZF2"
0,1.65688573765984,0.535,0.085,0,"0","MPV17L"
0,1.65002478547743,0.795,0.151,0,"0","PHGDH"
0,1.64646598439736,0.651,0.113,0,"0","ABCC11"
0,1.63374698370334,0.863,0.212,0,"0","RRM2"
0,1.62665827577495,1,0.537,0,"0","FASN"
0,1.56216990895568,0.859,0.196,0,"0","ACE"
0,1.55840188453715,0.917,0.251,0,"0","PSMG1"
0,1.55129279323149,1,0.586,0,"0","MIEN1"
0,1.54259507752963,0.592,0.107,0,"0","ALDH4A1"
0,1.54076098422966,0.678,0.137,0,"0","MPHOSPH6"
0,1.5366540296631,0.514,0.087,0,"0","TRIM36"
0,1.52976496527904,0.999,0.448,0,"0","MUC1"
0,1.52537767203001,0.999,0.517,0,"0","CSDE1"
0,1.52390817072913,0.66,0.13,0,"0","LRRC26"
0,1.51936095958134,0.957,0.302,0,"0","ITPRID2"
0,1.51807427360894,0.868,0.226,0,"0","FAR1"
0,1.51641643398783,0.996,0.396,0,"0","PPM1D"
0,1.51403325800799,0.603,0.12,0,"0","LCLAT1"
0,1.5080504561214,1,0.559,0,"0","HSP90AA1"
0,1.49702742211937,0.656,0.13,0,"0","BDH1"
0,1.49565251366422,0.809,0.179,0,"0","TFAP2C"
0,1.48719067196193,0.57,0.1,0,"0","TESMIN"
0,1.48522233531529,0.692,0.142,0,"0","CREB3L4"
