Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000011465,DCN,Gene Expression,0.7988334407559254,0.0,0.0,101658,29.69575105356222,4904
ENSG00000170323,FABP4,Gene Expression,0.7947578142198943,0.0,0.0,19409,11.125536323256283,3221
ENSG00000211445,GPX3,Gene Expression,0.7515104252623257,0.0,0.0,11037,6.231674096869449,3188
ENSG00000168542,COL3A1,Gene Expression,0.7468233076888416,0.0,0.0,574630,120.35799779253561,4980
ENSG00000198712,MT-CO2,Gene Expression,0.7410126811234276,0.0,0.0,1153822,93.75606129080087,4989
ENSG00000170558,CDH2,Gene Expression,0.7403267292446136,0.0,0.0,90823,5.764308572132006,3116
ENSG00000134240,HMGCS2,Gene Expression,0.7371871769975024,0.0,0.0,87046,5.423002097702556,3088
ENSG00000212907,MT-ND4L,Gene Expression,0.7350440802408613,0.0,0.0,1015897,90.23306193577805,4989
ENSG00000198938,MT-CO3,Gene Expression,0.73192676575703,0.0,0.0,1622853,134.10204546676363,4991
ENSG00000198650,TAT,Gene Expression,0.7292880671491907,0.0,0.0,59883,3.942669124858055,2591
ENSG00000198888,MT-ND1,Gene Expression,0.7250435958605886,0.0,0.0,660472,50.88157609721405,4980
ENSG00000136485,DCAF7,Gene Expression,0.7222822308566222,0.0,0.0,312667,20.91312411195221,4535
ENSG00000100362,PVALB,Gene Expression,0.7176087735717885,0.0,0.0,30044,1.889322050533905,2167
ENSG00000166819,PLIN1,Gene Expression,0.71725679550298,0.0,0.0,4541,2.862680456777062,1890
ENSG00000108821,COL1A1,Gene Expression,0.7161281431374836,0.0,0.0,670086,134.6739928426827,4980
ENSG00000198886,MT-ND4,Gene Expression,0.7114138284126609,0.0,0.0,988178,84.75817495574051,4987
ENSG00000164692,COL1A2,Gene Expression,0.7070313111281205,0.0,0.0,402019,81.37529994958385,4969
ENSG00000129538,RNASE1,Gene Expression,0.7064423426700449,0.0,0.0,53499,16.57820723514531,4812
ENSG00000107562,CXCL12,Gene Expression,0.7058033058607224,0.0,0.0,43363,12.376325451554546,4696
ENSG00000141736,ERBB2,Gene Expression,0.7024588476571201,0.0,0.0,538313,35.92418169542058,4764
ENSG00000111341,MGP,Gene Expression,0.7007079734550127,0.0,0.0,154511,26.504194956620108,4916
ENSG00000087245,MMP2,Gene Expression,0.6937052448026003,0.0,0.0,70644,17.257334569370403,4796
ENSG00000189058,APOD,Gene Expression,0.6931433056902625,0.0,0.0,177705,35.55242813130358,4957
ENSG00000153002,CPB1,Gene Expression,0.6927961486977477,0.0,0.0,137078,11.468730795121497,3549
ENSG00000167676,PLIN4,Gene Expression,0.6914456787849209,0.0,0.0,3299,2.338810224999275,1389
ENSG00000159403,C1R,Gene Expression,0.6890140069975451,0.0,0.0,54275,13.182445307601721,4772
ENSG00000141753,IGFBP4,Gene Expression,0.6889937838788947,0.0,0.0,66809,16.077299751971964,4898
ENSG00000187955,COL14A1,Gene Expression,0.6879231007030762,0.0,0.0,45699,12.846287925980809,4692
ENSG00000159763,PIP,Gene Expression,0.6875028626973598,0.0,0.0,49302,3.1758053185321873,2748
