"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.22279362970362,0.602,0.219,0,"0","KCNH6"
0,1.21811881820964,0.97,0.684,0,"0","IGFBP5"
4.01852877563039e-195,1.1011183562914,0.383,0.131,1.05112657184164e-190,"0","CCDC13"
1.25457584116909e-177,1.09084877804742,0.426,0.168,3.28159402774599e-173,"0","LAMC2"
1.67982319586024e-322,1.0636383837637,0.772,0.37,4.39391353341163e-318,"0","ITGA2"
3.91323281760456e-254,1.03080109328332,0.626,0.274,1.02358430810082e-249,"0","LIPH"
3.02329863093324e-248,0.97366065413836,0.582,0.237,7.90804222893207e-244,"0","PRICKLE2"
3.25917739938288e-202,0.951166788752425,0.462,0.177,8.5250303235658e-198,"0","RNF213-AS1"
4.01678483128046e-157,0.924829907545463,0.372,0.141,1.05067040831803e-152,"0","C8orf37-AS1"
0,0.912284985110486,0.905,0.518,0,"0","ITGB6"
3.82800652032864e-141,0.907410164595123,0.32,0.116,1.00129166552236e-136,"0","SLC9C1"
6.14771510422229e-135,0.889289193946661,0.33,0.126,1.60805783981142e-130,"0","BRINP2"
1.67880551522527e-305,0.887967559509916,0.779,0.381,4.39125158617473e-301,"0","KMO"
0,0.871963129037535,0.946,0.596,0,"0","POTEI"
1.96144061398975e-320,0.869251866290983,0.888,0.511,5.13054021401299e-316,"0","PHLDA1"
1.96959223457807e-220,0.86681645116554,0.519,0.204,5.15186240798586e-216,"0","DDR2"
5.06501588422544e-161,0.857198172285782,0.421,0.17,1.32485620483685e-156,"0","COL28A1"
0,0.853900026652131,0.988,0.722,0,"0","PSCA"
0,0.853214678351434,0.993,0.796,0,"0","PIP"
1.06504314417445e-136,0.841234496532852,0.411,0.18,2.78583335221711e-132,"0","CFAP161"
1.17007403176122e-164,0.826915881243773,0.52,0.243,3.06056264487782e-160,"0","EGR3"
2.34940167017013e-144,0.826574801770664,0.371,0.147,6.14532994866401e-140,"0","PLA2R1"
7.7110376844566e-251,0.818874341313693,0.69,0.323,2.01697612712331e-246,"0","CADM2"
4.21237306966843e-180,0.81713628886614,0.475,0.199,1.10183042383317e-175,"0","AL096803.2"
4.11412587404152e-99,0.81011636379575,0.262,0.103,1.07613190487304e-94,"0","AP001042.1"
1.0907920026519e-112,0.809601027399399,0.299,0.119,2.85318464133659e-108,"0","AL391117.1"
6.03146333072416e-232,0.804434405759166,0.756,0.389,1.57764986341752e-227,"0","EGR4"
6.49259622766507e-128,0.804052263868104,0.322,0.123,1.69826839527035e-123,"0","BAALC-AS1"
7.47211889756063e-306,0.796240717165504,0.86,0.447,1.95448214003493e-301,"0","PCYOX1"
7.9363757680737e-253,0.783193718362389,0.77,0.386,2.07591780965504e-248,"0","MTHFD2L"
4.24546125477592e-184,0.783000599808146,0.559,0.254,1.11048530041174e-179,"0","STXBP4"
2.1795418575189e-113,0.782815888918594,0.313,0.126,5.70102763671218e-109,"0","SYT17"
1.08272916122798e-134,0.778841811212665,0.399,0.172,2.83209466702404e-130,"0","TMC7"
6.9846293543475e-194,0.778540298654525,0.561,0.251,1.82696950021668e-189,"0","TRIM2"
4.01368903859447e-256,0.778221754005446,0.815,0.44,1.04986064182516e-251,"0","KIAA0825"
1.27806726781492e-106,0.776351453008406,0.324,0.14,3.34304055242348e-102,"0","GP2"
2.25192727599115e-111,0.76966233084589,0.313,0.129,5.89036617581005e-107,"0","LMO3"
1.45326205403678e-276,0.768045322430491,0.916,0.572,3.80129755474402e-272,"0","ABCB1"
2.32364664237633e-275,0.767531382667017,0.787,0.39,6.07796252246378e-271,"0","ATXN7L3B"
1.195004968687e-259,0.762079492806131,0.809,0.434,3.12577449659459e-255,"0","PRAG1"
8.41969583853602e-244,0.760158760891291,0.814,0.448,2.20233984048587e-239,"0","HOMER1"
8.68475590479424e-200,0.75983719642237,0.637,0.31,2.27167160201703e-195,"0","PPP1R1C"
9.40676128589938e-126,0.758150031111568,0.337,0.134,2.4605265495527e-121,"0","TRAF3IP2"
0,0.756094318707294,0.926,0.555,0,"0","HSD17B12"
6.11979978825778e-110,0.754381121048021,0.278,0.106,1.60075603061459e-105,"0","C3orf35"
2.20423917350004e-174,0.7538304944391,0.525,0.236,5.76562840612406e-170,"0","TCAP"
3.13599110922188e-311,0.752756452483381,0.886,0.477,8.20281194439166e-307,"0","BMI1"
0,0.751936328375983,0.989,0.745,0,"0","MAP7"
8.49366078553723e-105,0.751087935637405,0.31,0.131,2.22168685167297e-100,"0","FAM120C"
6.71131640747727e-212,0.750622243028585,0.625,0.29,1.75547903270383e-207,"0","AL731769.2"
0,0.750215806537274,0.97,0.663,0,"0","PLPP2"
1.26084706154249e-203,0.745668935044651,0.584,0.263,3.2979976588767e-199,"0","SRF"
4.05134556618755e-116,0.744181173636453,0.347,0.147,1.05971045974768e-111,"0","AL138720.1"
1.50094816874229e-84,0.742680475822429,0.252,0.105,3.92603012497921e-80,"0","SPINK8"
2.15823306583452e-122,0.741184013232324,0.347,0.143,5.64529023030336e-118,"0","ADAM32"
1.0402610667278e-162,0.740262007163322,0.466,0.199,2.7210108722399e-158,"0","SLC25A21"
2.86113665181145e-84,0.738977056721231,0.258,0.11,7.48387514014322e-80,"0","GUCY2D"
9.48432502815936e-190,0.738129156788041,0.562,0.255,2.48081489761564e-185,"0","TRAF5"
1.36297679220888e-233,0.734953626935847,0.706,0.352,3.56513839538078e-229,"0","TUFT1"
5.53428630172906e-161,0.734563435291655,0.43,0.175,1.44760326794327e-156,"0","SEMA3E"
1.13123174507737e-95,0.73160905357622,0.269,0.109,2.95896287559889e-91,"0","AL136115.2"
5.36325435841386e-118,0.731136737903712,0.376,0.167,1.40286644253031e-113,"0","CDHR3"
3.21681559244807e-165,0.7295473316773,0.485,0.213,8.4142245451664e-161,"0","GRIK2"
1.42107003636871e-132,0.729356424696799,0.36,0.145,3.71709289412964e-128,"0","KIF26B"
2.68184857195958e-242,0.728641107084662,0.726,0.358,7.01491130967467e-238,"0","PARM1"
4.02533239445015e-97,0.728304960101309,0.251,0.096,1.05290619441633e-92,"0","NPIPB15"
1.41516009588865e-95,0.723986628443354,0.254,0.099,3.70163426281595e-91,"0","AL645608.6"
5.05831584282577e-249,0.72280232776548,0.777,0.399,1.32310367500794e-244,"0","RHPN2"
1.35573404266395e-284,0.721195412261286,0.907,0.525,3.5461935353961e-280,"0","GPR160"
5.90658387270949e-190,0.720917460584845,0.52,0.22,1.54498514358462e-185,"0","DTWD2"
2.17337823742335e-261,0.720850458680589,0.861,0.486,5.68490545562825e-257,"0","SMAD5"
9.16585690196988e-234,0.720528346376966,0.721,0.356,2.39751318984826e-229,"0","RNF43"
3.29476318470052e-244,0.719810834844638,0.805,0.437,8.61811206222114e-240,"0","CACNA1D"
1.45137552972819e-195,0.718759408477929,0.648,0.321,3.79636297311003e-191,"0","NHS"
2.4327461399294e-229,0.717308528985723,0.793,0.432,6.36333407821333e-225,"0","TNFRSF21"
1.45661566330849e-84,0.715379242401051,0.265,0.113,3.81006959051602e-80,"0","SAMD12-AS1"
4.89550332807402e-292,0.714932774506523,0.911,0.525,1.28051680552432e-287,"0","IGSF8"
7.270263931911e-140,0.714783225676443,0.336,0.126,1.90168293666996e-135,"0","ZNF780B"
3.33597775472569e-140,0.71364907996326,0.428,0.187,8.72591701303598e-136,"0","GPRC5D-AS1"
3.79625247193716e-304,0.711065945792571,0.952,0.618,9.92985759084604e-300,"0","SREBF1"
7.59293416394544e-205,0.710341837055065,0.666,0.326,1.98608378926321e-200,"0","TMEM117"
6.17982443517799e-91,0.708312209127683,0.256,0.104,1.61645667750951e-86,"0","CELSR3"
0,0.706314518721274,0.957,0.598,0,"0","SERINC2"
1.33992915357682e-217,0.705491658173513,0.917,0.598,3.5048526870109e-213,"0","GDF15"
2.78147217434381e-169,0.704277988692865,0.515,0.228,7.27549676643111e-165,"0","SLC41A2"
4.81908679273813e-293,0.704230594430961,0.9,0.503,1.26052853237651e-288,"0","ZG16B"
2.63777140559514e-245,0.703450517519368,0.814,0.441,6.89961866561521e-241,"0","SLC37A1"
1.5032350916744e-282,0.703265007715805,0.978,0.728,3.93201202929274e-278,"0","SCD"
8.60401414185787e-314,0.702326279822394,0.975,0.691,2.25055197908576e-309,"0","RALGPS2"
2.63923723811684e-266,0.702164055503249,0.876,0.495,6.90345284374221e-262,"0","ATP6V0E2"
1.92787939247452e-155,0.701371979281889,0.483,0.216,5.0427541268956e-151,"0","TMEM45B"
2.2577975912982e-275,0.700929200528904,0.896,0.527,5.9057211595587e-271,"0","CNST"
1.23502765199141e-118,0.700507938122623,0.358,0.153,3.23046182931392e-114,"0","RUNDC1"
6.19018998237442e-154,0.700132729705019,0.475,0.213,1.61916799368968e-149,"0","FRK"
9.41762135783314e-305,0.699632528144968,0.971,0.679,2.46336721856841e-300,"0","GALNT7"
2.06703591979354e-151,0.697902322525735,0.456,0.201,5.40674585540396e-147,"0","SMIM31"
1.16149792975407e-312,0.697542323889203,0.974,0.656,3.03813013485772e-308,"0","DPP7"
6.52439340752951e-170,0.69453652420435,0.515,0.233,1.70658558360749e-165,"0","STX1A"
5.78446556236522e-91,0.692873295251247,0.315,0.142,1.51304265714787e-86,"0","ZPLD1"
4.61631814559604e-217,0.692348810966677,0.778,0.422,1.20749033734356e-212,"0","HDAC8"
2.84935259177311e-186,0.69192582801007,0.584,0.27,7.45305157430093e-182,"0","RAB43"
4.41519365739442e-191,0.690867390096522,0.495,0.205,1.15488220496466e-186,"0","TP53INP2"
2.04222532175833e-141,0.690719593306978,0.422,0.183,5.34184877412327e-137,"0","EML6"
4.93334922299111e-174,0.689791921036077,0.475,0.2,1.29041615625779e-169,"0","CUL7"
8.32236710956483e-157,0.689564482554773,0.415,0.168,2.17688156484887e-152,"0","AL499602.1"
8.33144086855687e-261,0.689256711912602,0.791,0.408,2.17925498798842e-256,"0","GUCY1A1"
6.55744228245338e-186,0.688605112522271,0.564,0.258,1.71523017782133e-181,"0","MINDY3"
1.93374740158824e-149,0.687472260625851,0.539,0.266,5.05810307833435e-145,"0","NEUROD2"
1.87055458039759e-113,0.686440540099039,0.338,0.142,4.89280961594597e-109,"0","PFKFB4"
6.91691904177745e-323,0.685956131173217,0.978,0.697,1.80925851375773e-318,"0","SPRED2"
1.53237393442683e-143,0.685658085800741,0.442,0.194,4.00823050028025e-139,"0","BCL9"
8.02597536819499e-302,0.684637188083052,0.981,0.702,2.09935437705876e-297,"0","MYO6"
8.13528475432717e-244,0.68406045558995,0.849,0.483,2.12794643318936e-239,"0","LPIN2"
5.35819130182351e-305,0.683983616963784,0.946,0.574,1.40154209881798e-300,"0","CREB3L1"
2.23921004092442e-276,0.683956628569246,0.909,0.535,5.857101704046e-272,"0","CREB3L4"
1.40990245644014e-243,0.682509103230232,0.767,0.389,3.68788185531048e-239,"0","NAAA"
0,0.681277119109252,1,0.95,0,"0","ERBB2"
8.77470618263918e-226,0.681237177991295,0.886,0.553,2.29519989619293e-221,"0","ABCC5"
8.74523802440977e-177,0.679570663557473,0.675,0.351,2.28749191004486e-172,"0","PTHLH"
1.47096543771218e-269,0.679121044409825,0.926,0.563,3.84760429542375e-265,"0","AKR7A3"
2.40147187847194e-205,0.677781951670211,0.633,0.299,6.28152999251905e-201,"0","GRIP1"
2.10595324804257e-93,0.676445925719182,0.277,0.115,5.50854191090495e-89,"0","MAP7D2"
1.0223256302192e-156,0.675989214202585,0.442,0.187,2.67409715096435e-152,"0","ZNF860"
7.14683911732166e-259,0.675432857764475,0.957,0.655,1.86939870791783e-254,"0","MTUS2"
5.98559825320767e-284,0.675389330882655,0.973,0.701,1.56565293509153e-279,"0","DST"
1.82538678243658e-282,0.673649993485262,0.949,0.632,4.77466420681936e-278,"0","TTC6"
2.63163428324072e-279,0.67339152672523,0.913,0.533,6.88356579467276e-275,"0","AKT1"
2.40884471668482e-280,0.671972546190057,0.908,0.524,6.30081512543249e-276,"0","RCN2"
1.27940959056146e-237,0.671006084286482,0.784,0.406,3.34655166603162e-233,"0","TP53I13"
7.81470930989482e-162,0.670646763487261,0.509,0.231,2.04409351418919e-157,"0","ATAT1"
5.53094095643626e-101,0.670238550852053,0.304,0.129,1.44672822597503e-96,"0","CATSPERG"
2.71069873122905e-261,0.668592061792257,0.923,0.563,7.09037467127583e-257,"0","TMEM97"
7.62062298598459e-145,0.668318130852739,0.493,0.231,1.99332635444399e-140,"0","SLC25A48"
6.69608057331902e-279,0.668173801917947,0.891,0.498,1.75149379556306e-274,"0","MTA1"
6.39256230966359e-190,0.667762572442029,0.673,0.343,1.67210252333871e-185,"0","C2CD4A"
3.05683627675963e-286,0.667022583718021,0.94,0.604,7.99576664912015e-282,"0","SLC1A4"
5.89268900139091e-245,0.666581737495796,0.909,0.556,1.54135066209382e-240,"0","EPB41L5"
7.15148828204348e-271,0.665982994032482,0.921,0.555,1.87061478993411e-266,"0","SELENOP"
1.20743463169989e-151,0.66598052467554,0.445,0.19,3.1582867661374e-147,"0","AL121790.1"
2.26823903944348e-261,0.665648325828643,0.917,0.579,5.9330328554723e-257,"0","TOM1L2"
9.45674415481289e-247,0.664702002612305,0.872,0.496,2.47360056857441e-242,"0","TFAM"
1.11894285146584e-179,0.662820931501076,0.542,0.242,2.92681881657921e-175,"0","GDPD1"
