barcode,in_tissue,array_row,array_col,pxl_row,pxl_col
SYNTH-1-1-1-Topic-8-Cell-1,1,1.0,1.0,100.0,150.0
SYNTH-1-1-1-Topic-8-Cell-2,1,1.0,1.0,119.63574880943135,128.5655098336136
SYNTH-1-1-1-Topic-8-Cell-3,1,1.0,1.0,59.04779743296415,153.59403741055414
SYNTH-1-1-1-Topic-8-Cell-4,1,1.0,1.0,139.9568324127756,180.63415648483507
SYNTH-1-1-1-Topic-8-Cell-5,1,1.0,1.0,89.87345028095746,92.75095642032298
SYNTH-1-2-1-Topic-0-Cell-1,1,1.0,2.0,100.0,250.0
SYNTH-1-2-1-Topic-0-Cell-2,1,1.0,2.0,119.63574880943135,228.5655098336136
SYNTH-1-2-1-Topic-0-Cell-3,1,1.0,2.0,59.04779743296415,253.59403741055414
SYNTH-1-2-1-Topic-8-Cell-4,1,1.0,2.0,139.9568324127756,280.6341564848351
SYNTH-1-2-1-Topic-8-Cell-5,1,1.0,2.0,89.87345028095746,192.75095642032298
SYNTH-1-3-1-Topic-0-Cell-1,1,1.0,3.0,100.0,350.0
SYNTH-1-3-1-Topic-0-Cell-2,1,1.0,3.0,117.92490426071794,330.4330770454125
SYNTH-1-3-1-Topic-0-Cell-3,1,1.0,3.0,62.61592479085583,353.28089227046326
SYNTH-1-3-1-Topic-4-Cell-4,1,1.0,3.0,136.4754307315513,377.96503089481223
SYNTH-1-3-1-Topic-8-Cell-5,1,1.0,3.0,90.755767148638,297.7390123930243
SYNTH-1-3-1-Topic-8-Cell-6,1,1.0,3.0,68.15237665249717,400.0655791981769
SYNTH-1-4-1-Topic-7-Cell-1,1,1.0,4.0,100.0,450.0
SYNTH-1-4-1-Topic-8-Cell-2,1,1.0,4.0,119.63574880943135,428.5655098336136
SYNTH-1-4-1-Topic-8-Cell-3,1,1.0,4.0,59.04779743296415,453.59403741055417
SYNTH-1-4-1-Topic-9-Cell-4,1,1.0,4.0,139.9568324127756,480.6341564848351
SYNTH-1-4-1-Topic-9-Cell-5,1,1.0,4.0,89.87345028095746,392.75095642032295
SYNTH-1-5-1-Topic-4-Cell-1,1,1.0,5.0,100.0,550.0
SYNTH-1-5-1-Topic-7-Cell-2,1,1.0,5.0,119.63574880943135,528.5655098336136
SYNTH-1-5-1-Topic-7-Cell-3,1,1.0,5.0,59.04779743296415,553.5940374105542
SYNTH-1-5-1-Topic-8-Cell-4,1,1.0,5.0,139.9568324127756,580.6341564848351
SYNTH-1-5-1-Topic-10-Cell-5,1,1.0,5.0,89.87345028095746,492.75095642032295
SYNTH-1-6-1-Topic-4-Cell-1,1,1.0,6.0,100.0,650.0
SYNTH-1-6-1-Topic-8-Cell-2,1,1.0,6.0,121.95343456349953,626.0355114624546
SYNTH-1-6-1-Topic-8-Cell-3,1,1.0,6.0,54.21404561588323,654.0182559818381
SYNTH-1-6-1-Topic-8-Cell-4,1,1.0,6.0,144.6730967202666,684.2500281667286
SYNTH-1-7-1-Topic-7-Cell-1,1,1.0,7.0,100.0,750.0
SYNTH-1-7-1-Topic-8-Cell-2,1,1.0,7.0,121.95343456349953,726.0355114624546
SYNTH-1-7-1-Topic-8-Cell-3,1,1.0,7.0,54.21404561588323,754.0182559818381
SYNTH-1-7-1-Topic-8-Cell-4,1,1.0,7.0,144.6730967202666,784.2500281667286
SYNTH-1-8-1-Topic-7-Cell-1,1,1.0,8.0,100.0,850.0
SYNTH-1-8-1-Topic-7-Cell-2,1,1.0,8.0,125.34964270974658,822.328192183713
SYNTH-1-8-1-Topic-7-Cell-3,1,1.0,8.0,47.130933822452505,854.6398823455742
SYNTH-1-9-1-Topic-7-Cell-1,1,1.0,9.0,100.0,950.0
SYNTH-1-9-1-Topic-8-Cell-2,1,1.0,9.0,121.95343456349953,926.0355114624546
SYNTH-1-9-1-Topic-8-Cell-3,1,1.0,9.0,54.21404561588323,954.0182559818381
