barcode,in_tissue,array_row,array_col,pxl_row_in_fullres,pxl_col_in_fullres
SYNTH-1-1-1,1,1,1,100,150
SYNTH-1-2-1,1,1,2,100,250
SYNTH-1-3-1,1,1,3,100,350
SYNTH-1-4-1,1,1,4,100,450
SYNTH-1-5-1,1,1,5,100,550
SYNTH-1-6-1,1,1,6,100,650
SYNTH-1-7-1,1,1,7,100,750
SYNTH-1-8-1,1,1,8,100,850
SYNTH-1-9-1,1,1,9,100,950
SYNTH-1-10-1,1,1,10,100,1050
SYNTH-1-11-1,1,1,11,100,1150
SYNTH-1-12-1,1,1,12,100,1250
SYNTH-1-13-1,1,1,13,100,1350
SYNTH-1-14-1,1,1,14,100,1450
SYNTH-1-15-1,1,1,15,100,1550
SYNTH-1-16-1,1,1,16,100,1650
SYNTH-1-17-1,1,1,17,100,1750
SYNTH-1-18-1,1,1,18,100,1850
SYNTH-1-19-1,1,1,19,100,1950
SYNTH-1-20-1,1,1,20,100,2050
SYNTH-1-21-1,1,1,21,100,2150
SYNTH-1-22-1,1,1,22,100,2250
SYNTH-1-23-1,1,1,23,100,2350
SYNTH-1-24-1,1,1,24,100,2450
SYNTH-1-25-1,1,1,25,100,2550
SYNTH-1-26-1,1,1,26,100,2650
SYNTH-1-27-1,1,1,27,100,2750
SYNTH-1-28-1,1,1,28,100,2850
SYNTH-1-29-1,1,1,29,100,2950
SYNTH-1-30-1,1,1,30,100,3050
SYNTH-1-31-1,1,1,31,100,3150
SYNTH-1-32-1,1,1,32,100,3250
SYNTH-1-33-1,1,1,33,100,3350
SYNTH-1-34-1,1,1,34,100,3450
SYNTH-1-35-1,1,1,35,100,3550
SYNTH-1-36-1,1,1,36,100,3650
SYNTH-1-37-1,1,1,37,100,3750
SYNTH-1-38-1,1,1,38,100,3850
SYNTH-1-39-1,1,1,39,100,3950
SYNTH-1-40-1,1,1,40,100,4050
SYNTH-1-41-1,1,1,41,100,4150
SYNTH-1-42-1,1,1,42,100,4250
SYNTH-1-43-1,1,1,43,100,4350
SYNTH-1-44-1,1,1,44,100,4450
SYNTH-1-45-1,1,1,45,100,4550
SYNTH-1-46-1,1,1,46,100,4650
SYNTH-1-47-1,1,1,47,100,4750
SYNTH-1-48-1,1,1,48,100,4850
SYNTH-1-49-1,1,1,49,100,4950
SYNTH-1-50-1,1,1,50,100,5050
SYNTH-2-1-1,1,2,1,200,100
SYNTH-2-2-1,1,2,2,200,200
SYNTH-2-3-1,1,2,3,200,300
SYNTH-2-4-1,1,2,4,200,400
SYNTH-2-5-1,1,2,5,200,500
SYNTH-2-6-1,1,2,6,200,600
SYNTH-2-7-1,1,2,7,200,700
SYNTH-2-8-1,1,2,8,200,800
SYNTH-2-9-1,1,2,9,200,900
SYNTH-2-10-1,1,2,10,200,1000
SYNTH-2-11-1,1,2,11,200,1100
SYNTH-2-12-1,1,2,12,200,1200
SYNTH-2-13-1,1,2,13,200,1300
SYNTH-2-14-1,1,2,14,200,1400
SYNTH-2-15-1,1,2,15,200,1500
SYNTH-2-16-1,1,2,16,200,1600
SYNTH-2-17-1,1,2,17,200,1700
SYNTH-2-18-1,1,2,18,200,1800
SYNTH-2-19-1,1,2,19,200,1900
SYNTH-2-20-1,1,2,20,200,2000
SYNTH-2-21-1,1,2,21,200,2100
SYNTH-2-22-1,1,2,22,200,2200
SYNTH-2-23-1,1,2,23,200,2300
SYNTH-2-24-1,1,2,24,200,2400
SYNTH-2-25-1,1,2,25,200,2500
SYNTH-2-26-1,1,2,26,200,2600
SYNTH-2-27-1,1,2,27,200,2700
SYNTH-2-28-1,1,2,28,200,2800
SYNTH-2-29-1,1,2,29,200,2900
SYNTH-2-30-1,1,2,30,200,3000
SYNTH-2-31-1,1,2,31,200,3100
SYNTH-2-32-1,1,2,32,200,3200
SYNTH-2-33-1,1,2,33,200,3300
SYNTH-2-34-1,1,2,34,200,3400
SYNTH-2-35-1,1,2,35,200,3500
SYNTH-2-36-1,1,2,36,200,3600
SYNTH-2-37-1,1,2,37,200,3700
SYNTH-2-38-1,1,2,38,200,3800
SYNTH-2-39-1,1,2,39,200,3900
SYNTH-2-40-1,1,2,40,200,4000
SYNTH-2-41-1,1,2,41,200,4100
SYNTH-2-42-1,1,2,42,200,4200
SYNTH-2-43-1,1,2,43,200,4300
SYNTH-2-44-1,1,2,44,200,4400
SYNTH-2-45-1,1,2,45,200,4500
SYNTH-2-46-1,1,2,46,200,4600
SYNTH-2-47-1,1,2,47,200,4700
SYNTH-2-48-1,1,2,48,200,4800
SYNTH-2-49-1,1,2,49,200,4900
SYNTH-2-50-1,1,2,50,200,5000
SYNTH-3-1-1,1,3,1,300,150
SYNTH-3-2-1,1,3,2,300,250
SYNTH-3-3-1,1,3,3,300,350
SYNTH-3-4-1,1,3,4,300,450
SYNTH-3-5-1,1,3,5,300,550
SYNTH-3-6-1,1,3,6,300,650
SYNTH-3-7-1,1,3,7,300,750
SYNTH-3-8-1,1,3,8,300,850
SYNTH-3-9-1,1,3,9,300,950
SYNTH-3-10-1,1,3,10,300,1050
SYNTH-3-11-1,1,3,11,300,1150
SYNTH-3-12-1,1,3,12,300,1250
SYNTH-3-13-1,1,3,13,300,1350
SYNTH-3-14-1,1,3,14,300,1450
SYNTH-3-15-1,1,3,15,300,1550
SYNTH-3-16-1,1,3,16,300,1650
SYNTH-3-17-1,1,3,17,300,1750
SYNTH-3-18-1,1,3,18,300,1850
SYNTH-3-19-1,1,3,19,300,1950
SYNTH-3-20-1,1,3,20,300,2050
SYNTH-3-21-1,1,3,21,300,2150
SYNTH-3-22-1,1,3,22,300,2250
SYNTH-3-23-1,1,3,23,300,2350
SYNTH-3-24-1,1,3,24,300,2450
SYNTH-3-25-1,1,3,25,300,2550
SYNTH-3-26-1,1,3,26,300,2650
SYNTH-3-27-1,1,3,27,300,2750
SYNTH-3-28-1,1,3,28,300,2850
SYNTH-3-29-1,1,3,29,300,2950
SYNTH-3-30-1,1,3,30,300,3050
SYNTH-3-31-1,1,3,31,300,3150
SYNTH-3-32-1,1,3,32,300,3250
SYNTH-3-33-1,1,3,33,300,3350
SYNTH-3-34-1,1,3,34,300,3450
SYNTH-3-35-1,1,3,35,300,3550
SYNTH-3-36-1,1,3,36,300,3650
SYNTH-3-37-1,1,3,37,300,3750
SYNTH-3-38-1,1,3,38,300,3850
SYNTH-3-39-1,1,3,39,300,3950
SYNTH-3-40-1,1,3,40,300,4050
SYNTH-3-41-1,1,3,41,300,4150
SYNTH-3-42-1,1,3,42,300,4250
SYNTH-3-43-1,1,3,43,300,4350
SYNTH-3-44-1,1,3,44,300,4450
SYNTH-3-45-1,1,3,45,300,4550
SYNTH-3-46-1,1,3,46,300,4650
SYNTH-3-47-1,1,3,47,300,4750
SYNTH-3-48-1,1,3,48,300,4850
SYNTH-3-49-1,1,3,49,300,4950
SYNTH-3-50-1,1,3,50,300,5050
SYNTH-4-1-1,1,4,1,400,100
SYNTH-4-2-1,1,4,2,400,200
SYNTH-4-3-1,1,4,3,400,300
SYNTH-4-4-1,1,4,4,400,400
SYNTH-4-5-1,1,4,5,400,500
SYNTH-4-6-1,1,4,6,400,600
SYNTH-4-7-1,1,4,7,400,700
SYNTH-4-8-1,1,4,8,400,800
SYNTH-4-9-1,1,4,9,400,900
SYNTH-4-10-1,1,4,10,400,1000
SYNTH-4-11-1,1,4,11,400,1100
SYNTH-4-12-1,1,4,12,400,1200
SYNTH-4-13-1,1,4,13,400,1300
SYNTH-4-14-1,1,4,14,400,1400
SYNTH-4-15-1,1,4,15,400,1500
SYNTH-4-16-1,1,4,16,400,1600
SYNTH-4-17-1,1,4,17,400,1700
SYNTH-4-18-1,1,4,18,400,1800
SYNTH-4-19-1,1,4,19,400,1900
SYNTH-4-20-1,1,4,20,400,2000
SYNTH-4-21-1,1,4,21,400,2100
SYNTH-4-22-1,1,4,22,400,2200
SYNTH-4-23-1,1,4,23,400,2300
SYNTH-4-24-1,1,4,24,400,2400
SYNTH-4-25-1,1,4,25,400,2500
SYNTH-4-26-1,1,4,26,400,2600
SYNTH-4-27-1,1,4,27,400,2700
SYNTH-4-28-1,1,4,28,400,2800
SYNTH-4-29-1,1,4,29,400,2900
SYNTH-4-30-1,1,4,30,400,3000
SYNTH-4-31-1,1,4,31,400,3100
SYNTH-4-32-1,1,4,32,400,3200
SYNTH-4-33-1,1,4,33,400,3300
SYNTH-4-34-1,1,4,34,400,3400
SYNTH-4-35-1,1,4,35,400,3500
SYNTH-4-36-1,1,4,36,400,3600
SYNTH-4-37-1,1,4,37,400,3700
SYNTH-4-38-1,1,4,38,400,3800
SYNTH-4-39-1,1,4,39,400,3900
SYNTH-4-40-1,1,4,40,400,4000
SYNTH-4-41-1,1,4,41,400,4100
SYNTH-4-42-1,1,4,42,400,4200
SYNTH-4-43-1,1,4,43,400,4300
SYNTH-4-44-1,1,4,44,400,4400
SYNTH-4-45-1,1,4,45,400,4500
SYNTH-4-46-1,1,4,46,400,4600
SYNTH-4-47-1,1,4,47,400,4700
SYNTH-4-48-1,1,4,48,400,4800
SYNTH-4-49-1,1,4,49,400,4900
SYNTH-4-50-1,1,4,50,400,5000
SYNTH-5-1-1,1,5,1,500,150
SYNTH-5-2-1,1,5,2,500,250
SYNTH-5-3-1,1,5,3,500,350
SYNTH-5-4-1,1,5,4,500,450
SYNTH-5-5-1,1,5,5,500,550
SYNTH-5-6-1,1,5,6,500,650
SYNTH-5-7-1,1,5,7,500,750
SYNTH-5-8-1,1,5,8,500,850
SYNTH-5-9-1,1,5,9,500,950
SYNTH-5-10-1,1,5,10,500,1050
SYNTH-5-11-1,1,5,11,500,1150
SYNTH-5-12-1,1,5,12,500,1250
SYNTH-5-13-1,1,5,13,500,1350
SYNTH-5-14-1,1,5,14,500,1450
SYNTH-5-15-1,1,5,15,500,1550
SYNTH-5-16-1,1,5,16,500,1650
SYNTH-5-17-1,1,5,17,500,1750
SYNTH-5-18-1,1,5,18,500,1850
SYNTH-5-19-1,1,5,19,500,1950
SYNTH-5-20-1,1,5,20,500,2050
SYNTH-5-21-1,1,5,21,500,2150
SYNTH-5-22-1,1,5,22,500,2250
SYNTH-5-23-1,1,5,23,500,2350
SYNTH-5-24-1,1,5,24,500,2450
SYNTH-5-25-1,1,5,25,500,2550
SYNTH-5-26-1,1,5,26,500,2650
SYNTH-5-27-1,1,5,27,500,2750
SYNTH-5-28-1,1,5,28,500,2850
SYNTH-5-29-1,1,5,29,500,2950
SYNTH-5-30-1,1,5,30,500,3050
SYNTH-5-31-1,1,5,31,500,3150
SYNTH-5-32-1,1,5,32,500,3250
SYNTH-5-33-1,1,5,33,500,3350
SYNTH-5-34-1,1,5,34,500,3450
SYNTH-5-35-1,1,5,35,500,3550
SYNTH-5-36-1,1,5,36,500,3650
SYNTH-5-37-1,1,5,37,500,3750
SYNTH-5-38-1,1,5,38,500,3850
SYNTH-5-39-1,1,5,39,500,3950
SYNTH-5-40-1,1,5,40,500,4050
SYNTH-5-41-1,1,5,41,500,4150
SYNTH-5-42-1,1,5,42,500,4250
SYNTH-5-43-1,1,5,43,500,4350
SYNTH-5-44-1,1,5,44,500,4450
SYNTH-5-45-1,1,5,45,500,4550
SYNTH-5-46-1,1,5,46,500,4650
SYNTH-5-47-1,1,5,47,500,4750
SYNTH-5-48-1,1,5,48,500,4850
SYNTH-5-49-1,1,5,49,500,4950
SYNTH-5-50-1,1,5,50,500,5050
SYNTH-6-1-1,1,6,1,600,100
SYNTH-6-2-1,1,6,2,600,200
SYNTH-6-3-1,1,6,3,600,300
SYNTH-6-4-1,1,6,4,600,400
SYNTH-6-5-1,1,6,5,600,500
SYNTH-6-6-1,1,6,6,600,600
SYNTH-6-7-1,1,6,7,600,700
SYNTH-6-8-1,1,6,8,600,800
SYNTH-6-9-1,1,6,9,600,900
SYNTH-6-10-1,1,6,10,600,1000
SYNTH-6-11-1,1,6,11,600,1100
SYNTH-6-12-1,1,6,12,600,1200
SYNTH-6-13-1,1,6,13,600,1300
SYNTH-6-14-1,1,6,14,600,1400
SYNTH-6-15-1,1,6,15,600,1500
SYNTH-6-16-1,1,6,16,600,1600
SYNTH-6-17-1,1,6,17,600,1700
SYNTH-6-18-1,1,6,18,600,1800
SYNTH-6-19-1,1,6,19,600,1900
SYNTH-6-20-1,1,6,20,600,2000
SYNTH-6-21-1,1,6,21,600,2100
SYNTH-6-22-1,1,6,22,600,2200
SYNTH-6-23-1,1,6,23,600,2300
SYNTH-6-24-1,1,6,24,600,2400
SYNTH-6-25-1,1,6,25,600,2500
SYNTH-6-26-1,1,6,26,600,2600
SYNTH-6-27-1,1,6,27,600,2700
SYNTH-6-28-1,1,6,28,600,2800
SYNTH-6-29-1,1,6,29,600,2900
SYNTH-6-30-1,1,6,30,600,3000
SYNTH-6-31-1,1,6,31,600,3100
SYNTH-6-32-1,1,6,32,600,3200
SYNTH-6-33-1,1,6,33,600,3300
SYNTH-6-34-1,1,6,34,600,3400
SYNTH-6-35-1,1,6,35,600,3500
SYNTH-6-36-1,1,6,36,600,3600
SYNTH-6-37-1,1,6,37,600,3700
SYNTH-6-38-1,1,6,38,600,3800
SYNTH-6-39-1,1,6,39,600,3900
SYNTH-6-40-1,1,6,40,600,4000
SYNTH-6-41-1,1,6,41,600,4100
SYNTH-6-42-1,1,6,42,600,4200
SYNTH-6-43-1,1,6,43,600,4300
SYNTH-6-44-1,1,6,44,600,4400
SYNTH-6-45-1,1,6,45,600,4500
SYNTH-6-46-1,1,6,46,600,4600
SYNTH-6-47-1,1,6,47,600,4700
SYNTH-6-48-1,1,6,48,600,4800
