"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.63862628476732,0.345,0.02,0,"Tumor Core","CXCL11"
0,4.21809132855422,0.293,0.024,0,"Tumor Core","CXCL10"
0,4.00546917915535,0.661,0.099,0,"Tumor Core","CST1"
0,4.0046100595681,0.61,0.08,0,"Tumor Core","CXCL9"
1.34473681529135e-237,3.42574804689073,0.27,0.033,2.4065410046454e-233,"Tumor Core","OASL"
0,3.21175157653806,0.619,0.127,0,"Tumor Core","WARS"
3.72539775550896e-244,3.03137047472381,0.382,0.073,6.66697182325884e-240,"Tumor Core","PSMB9"
8.74844156534149e-177,2.80086549580291,0.289,0.055,1.56562110253351e-172,"Tumor Core","HIST1H2BG"
2.34549524469257e-146,2.64570015789032,0.28,0.062,4.19749828990182e-142,"Tumor Core","MCM7"
9.45907922080971e-144,2.60133909120802,0.254,0.051,1.6927968173561e-139,"Tumor Core","HIST1H2BH"
3.56023081049253e-129,2.58985890501539,0.251,0.055,6.37138905845742e-125,"Tumor Core","RSAD2"
3.55802751794052e-183,2.58277882140326,0.345,0.078,6.36744604610636e-179,"Tumor Core","KPNA2"
2.25127673028233e-217,2.51810087428444,0.427,0.105,4.02888483651326e-213,"Tumor Core","IFIT3"
2.62190464280848e-219,2.48711858258386,0.476,0.131,4.69216054877005e-215,"Tumor Core","PPM1G"
6.63894090217087e-229,2.47364447106685,0.469,0.12,1.1881048638525e-224,"Tumor Core","ANP32E"
5.75805547930179e-120,2.46710534068263,0.266,0.066,1.03046160857585e-115,"Tumor Core","PSMB10"
2.39935359585581e-164,2.42895705437405,0.393,0.112,4.29388319514356e-160,"Tumor Core","GBP1"
0,2.42470517938784,0.848,0.37,0,"Tumor Core","ISG15"
0,2.3034494715899,0.749,0.272,0,"Tumor Core","F3"
1.9525050775792e-120,2.18608968811255,0.294,0.08,3.49420308683574e-116,"Tumor Core","HIST1H2BD"
3.14694103714889e-212,2.15263809251876,0.531,0.173,5.63176568008166e-208,"Tumor Core","IFITM1"
5.47876281028037e-107,2.14120355532231,0.316,0.1,9.80479392527775e-103,"Tumor Core","TPX2"
3.20891863023695e-105,2.13270558700592,0.264,0.073,5.74268078067204e-101,"Tumor Core","RTKN"
5.9640932256075e-107,2.10909769637288,0.272,0.075,1.06733412365472e-102,"Tumor Core","PML"
1.3223677493354e-93,2.07382871255115,0.3,0.1,2.36650932421063e-89,"Tumor Core","UBE2C"
2.3125242575001e-159,2.04494883891582,0.486,0.177,4.13849341122219e-155,"Tumor Core","IGFBP6"
7.85563075162052e-200,2.04154492141774,0.572,0.215,1.40584367931001e-195,"Tumor Core","TNFSF10"
3.17763703073168e-180,1.90702420515824,0.594,0.249,5.68669923019741e-176,"Tumor Core","TAP1"
5.21716675962729e-106,1.86121986028061,0.371,0.133,9.336641633029e-102,"Tumor Core","FST"
3.759441560582e-126,1.78490606375213,0.424,0.154,6.72789661681755e-122,"Tumor Core","PSME2"
7.41372893189547e-85,1.69429485448816,0.358,0.145,1.32676092965201e-80,"Tumor Core","OAS3"
2.89576833497403e-178,1.69100776671802,0.64,0.287,5.18226701226953e-174,"Tumor Core","CAV1"
8.08466855728329e-70,1.67885430778762,0.308,0.124,1.44683228501142e-65,"Tumor Core","NME1"
1.08778012131193e-255,1.66376667499398,0.8,0.362,1.94669130509983e-251,"Tumor Core","LAMC2"
6.46428836525071e-59,1.6464983164578,0.264,0.105,1.15684904584527e-54,"Tumor Core","UBE2L6"
