"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.11674949647483e-84,3.71812879243527,0.264,0.049,3.78813489889136e-80,"Tumor Core","CXCL11"
1.5942544739914e-146,3.36085004960503,0.46,0.092,2.85307780665501e-142,"Tumor Core","UBE2C"
4.26325053847659e-128,3.22369493401773,0.526,0.141,7.6295131636577e-124,"Tumor Core","CXCL9"
1.74251146585258e-155,3.14548464475529,0.55,0.127,3.11839851928978e-151,"Tumor Core","HIST1H3H"
3.65545337613407e-169,3.12604113741896,0.631,0.165,6.54179936192953e-165,"Tumor Core","WARS"
1.19603079067383e-74,3.06687039502703,0.26,0.052,2.14041670298989e-70,"Tumor Core","MYBL2"
2.77514509408465e-74,3.02540910521519,0.271,0.057,4.96639966037388e-70,"Tumor Core","MELK"
2.28712806270272e-70,3.00790849300861,0.274,0.06,4.09304438101278e-66,"Tumor Core","CDC20"
1.08894352662067e-162,2.97129116362634,0.595,0.146,1.94877333524035e-158,"Tumor Core","CST1"
1.26853006873773e-102,2.94697577998868,0.424,0.104,2.27016141101304e-98,"Tumor Core","TPX2"
3.22600135598027e-113,2.91548302156041,0.474,0.121,5.77325202666229e-109,"Tumor Core","HIST1H2AG"
1.69732511560744e-67,2.86402938561235,0.283,0.067,3.03753302689107e-63,"Tumor Core","HIST1H2BO"
4.00293260616505e-99,2.83833760256216,0.443,0.118,7.16364819199297e-95,"Tumor Core","GBP1"
5.67459518045408e-94,2.79556573376442,0.364,0.082,1.01552555349406e-89,"Tumor Core","HIST1H1B"
1.36101358715697e-78,2.64465530075936,0.31,0.069,2.43566991557611e-74,"Tumor Core","HIST1H2BG"
2.84607169435384e-53,2.54413877134269,0.3,0.088,5.09332990421563e-49,"Tumor Core","HIST1H2BD"
5.55851476116699e-51,2.5260848782948,0.312,0.097,9.94751801658445e-47,"Tumor Core","HIST1H2BN"
3.1014869189757e-111,2.50181084284244,0.467,0.117,5.55042099019891e-107,"Tumor Core","HIST1H3G"
1.15897455228357e-75,2.40724606070185,0.288,0.062,2.07410085876669e-71,"Tumor Core","HIST1H2BH"
1.44396049941479e-75,2.26333009543282,0.51,0.195,2.58411170975271e-71,"Tumor Core","IFITM1"
3.9366752084543e-53,2.24894750410426,0.371,0.13,7.04507395304981e-49,"Tumor Core","IFIT3"
4.29413818085406e-51,2.21246969853544,0.331,0.108,7.68478968845643e-47,"Tumor Core","HIST1H4D"
1.43430896482636e-51,2.15410467329882,0.39,0.147,2.56683932345326e-47,"Tumor Core","FST"
8.0808973234001e-73,2.11938044308183,0.555,0.232,1.44615738499568e-68,"Tumor Core","ARPC3"
3.0934415548478e-50,2.10400807065105,0.355,0.122,5.53602300655563e-46,"Tumor Core","HIST1H4C"
1.10838825990669e-66,2.08188306364169,0.51,0.207,1.98357162992902e-62,"Tumor Core","HIST1H1E"
3.2609964828463e-71,2.05358440185474,0.538,0.217,5.83587930570173e-67,"Tumor Core","PLAUR"
1.16724268898884e-42,2.04202296371926,0.329,0.119,2.08889751621442e-38,"Tumor Core","HIST1H4A"
4.94139461694798e-29,1.97971735978162,0.276,0.111,8.84311980649011e-25,"Tumor Core","KPNA2"
8.99735569552378e-53,1.8960555941838,0.529,0.263,1.61016677527094e-48,"Tumor Core","TAP1"
2.84259458253859e-68,1.88626336299665,0.612,0.295,5.08710726491105e-64,"Tumor Core","F3"
5.69524306693621e-89,1.83520821609684,0.731,0.399,1.0192206992589e-84,"Tumor Core","ISG15"
9.60454541847412e-47,1.8267717549549,0.445,0.193,1.71882944809013e-42,"Tumor Core","IGFBP6"
1.80175640885127e-36,1.82056057915,0.352,0.148,3.22442326928022e-32,"Tumor Core","OAS2"
9.42821871414449e-42,1.7997548350378,0.4,0.171,1.6872740210833e-37,"Tumor Core","PSME2"
1.34834932434101e-22,1.78833046665585,0.314,0.156,2.41300595084067e-18,"Tumor Core","OAS3"
2.74829206216453e-30,1.78150808699834,0.269,0.103,4.91834347444965e-26,"Tumor Core","CTSC"
1.17251200819084e-23,1.75928603404114,0.25,0.105,2.09832748985833e-19,"Tumor Core","MOB3B"
6.66783982944767e-25,1.74528305726364,0.267,0.113,1.19327661587795e-20,"Tumor Core","CTNNAL1"
4.28552393729882e-30,1.74334048849636,0.271,0.106,7.66937363818997e-26,"Tumor Core","PSMB9"
1.43929899504477e-22,1.71899211236392,0.293,0.139,2.57576948153212e-18,"Tumor Core","EFHD2"
3.53929050883665e-33,1.7085173142691,0.39,0.186,6.33391429461406e-29,"Tumor Core","C12orf75"
5.46010231444916e-22,1.6190830458068,0.276,0.126,9.77139910193822e-18,"Tumor Core","COA4"
3.03564805215797e-77,1.61063771049493,0.683,0.316,5.43259575414191e-73,"Tumor Core","SDC4"
