Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000038891,Prl3b1,Gene Expression,0.6086388945245573,0.0,0.0,755,0.6259251329838886,337
ENSMUSG00000022483,Col2a1,Gene Expression,0.5225603110604775,0.0,0.0,10320,1.4230125814977006,1335
ENSMUSG00000027248,Pdia3,Gene Expression,0.5179749876993026,0.0,0.0,50740,7.592925490297034,2686
ENSMUSG00000062115,Rai1,Gene Expression,0.46525647260060304,0.0,0.0,51854,4.043195845075219,2411
ENSMUSG00000020358,Hnrnpab,Gene Expression,0.4040329040282148,0.0,0.0,9265,1.3095980129316622,1864
ENSMUSG00000035491,Fthl17a,Gene Expression,0.39711406666969723,0.0,0.0,197,0.10553652841675268,93
ENSMUSG00000040459,Arglu1,Gene Expression,0.3866227744876439,0.0,0.0,41128,3.274551750062185,2335
ENSMUSG00000024134,Six2,Gene Expression,0.36442635135355544,0.0,0.0,656,0.199889470784402,323
ENSMUSG00000052305,Hbb-bs,Gene Expression,0.3599634638199493,0.0,0.0,359,0.16233970981985932,183
ENSMUSG00000069227,Gprin1,Gene Expression,0.3473313364859197,0.0,0.0,20416,0.9640243424641795,1413
ENSMUSG00000023484,Prph,Gene Expression,0.3387922100572972,0.0,0.0,751,0.05264726077539587,239
ENSMUSG00000034730,Adgrb1,Gene Expression,0.3336555556868238,0.0,0.0,28673,1.1528826075351548,1601
ENSMUSG00000045763,Basp1,Gene Expression,0.32962316455773005,0.0,0.0,40066,3.0145393533120886,2265
ENSMUSG00000001496,Nkx2-1,Gene Expression,0.3287758714902232,0.0,0.0,36,0.008182579244288755,19
ENSMUSG00000021281,Tnfaip2,Gene Expression,0.3272164265763292,0.0,0.0,403,0.1478529249153336,211
ENSMUSG00000061723,Tnnt3,Gene Expression,0.3233652771133288,0.0,0.0,865,0.2137920340292428,396
ENSMUSG00000022257,Laptm4b,Gene Expression,0.32289995902100593,0.0,0.0,4229,0.5830990555249028,1402
ENSMUSG00000063317,Usp31,Gene Expression,0.32086460990489046,0.0,0.0,19299,2.080335821384684,2158
ENSMUSG00000032187,Smarca4,Gene Expression,0.32054205325068347,0.0,0.0,56423,3.5972984618584944,2431
ENSMUSG00000090946,Ccdc71l,Gene Expression,0.3179343502091915,0.0,0.0,3207,0.2791223506678965,970
ENSMUSG00000067438,Hmx1,Gene Expression,0.3165775648213009,0.0,0.0,547,0.0679249252415158,112
ENSMUSG00000025216,Lbx1,Gene Expression,0.3146207335067994,0.0,0.0,6258,0.3025207000916984,881
